student,exam,avg_value,signal
S1,Final,66121.21987814785,HR
S1,Midterm 1,137909.50268015396,HR
S1,Midterm 2,138655.2791427801,HR
S10,Final,67045.00091433278,HR
S10,Midterm 1,131907.55455393836,HR
S10,Midterm 2,118858.11873613679,HR
S2,Final,61078.7677977812,HR
S2,Midterm 1,128644.07478917926,HR
S2,Midterm 2,111215.62653383297,HR
S3,Final,59918.06615286279,HR
S3,Midterm 1,126237.20367390414,HR
S3,Midterm 2,150713.7267617466,HR
S4,Final,97146.36166509523,HR
S4,Midterm 1,131843.92082149582,HR
S4,Midterm 2,115287.88659843107,HR
S5,Final,101396.22809801863,HR
S5,Midterm 1,128458.69153159914,HR
S5,Midterm 2,128505.29802814555,HR
S6,Final,64669.68575478799,HR
S6,Midterm 1,138222.53365243136,HR
S6,Midterm 2,108816.4809807516,HR
S7,Final,78713.67890127793,HR
S7,Midterm 1,124501.13493374274,HR
S7,Midterm 2,142784.41992226543,HR
S8,Final,86413.71187489519,HR
S8,Midterm 1,143011.20919613852,HR
S8,Midterm 2,155001.15240204943,HR
S9,Final,108828.67010493696,HR
S9,Midterm 1,121572.38800063121,HR
S9,Midterm 2,124206.3957083065,HR
S1,Final,16498.941837371975,EDA
S1,Midterm 1,34428.812945417856,EDA
S1,Midterm 2,34612.86652688019,EDA
S10,Final,16729.555455226506,EDA
S10,Midterm 1,32930.708296054785,EDA
S10,Midterm 2,29669.571945535405,EDA
S2,Final,15234.985229279542,EDA
S2,Midterm 1,32114.553490669266,EDA
S2,Midterm 2,27762.368617083528,EDA
S3,Final,14949.217334404391,EDA
S3,Midterm 1,31511.175573816556,EDA
S3,Midterm 2,37623.41609597221,EDA
S4,Final,24251.756771271877,EDA
S4,Midterm 1,32909.72855218319,EDA
S4,Midterm 2,28782.642265225517,EDA
S5,Final,25313.295506039773,EDA
S5,Midterm 1,32066.372176751647,EDA
S5,Midterm 2,32077.00665001494,EDA
S6,Final,16136.864710173457,EDA
S6,Midterm 1,34507.79754705783,EDA
S6,Midterm 2,27163.79174168331,EDA
S7,Final,19645.325629539075,EDA
S7,Midterm 1,31076.001003381545,EDA
S7,Midterm 2,35645.24682966109,EDA
S8,Final,21568.77666921512,EDA
S8,Midterm 1,35698.30075246341,EDA
S8,Midterm 2,38693.62876176752,EDA
S9,Final,27170.587581279353,EDA
S9,Midterm 1,30348.220049366893,EDA
S9,Midterm 2,31004.930777887854,EDA
S1,Final,1031.155027090706,BVP
S1,Midterm 1,2151.824777994126,BVP
S1,Midterm 2,2163.264204030322,BVP
S10,Final,1045.5956411843458,BVP
S10,Midterm 1,2058.123720754566,BVP
S10,Midterm 2,1854.3304712492725,BVP
S2,Final,952.1890186462879,BVP
S2,Midterm 1,2007.0875954466692,BVP
S2,Midterm 2,1735.0840662497737,BVP
S3,Final,934.2973917302883,BVP
S3,Midterm 1,1969.5201696584954,BVP
S3,Midterm 2,2351.548572655217,BVP
S4,Final,1515.7323600132722,BVP
S4,Midterm 1,2056.9740722048964,BVP
S4,Midterm 2,1798.8343142459144,BVP
S5,Final,1582.0514258283586,BVP
S5,Midterm 1,2004.272242874087,BVP
S5,Midterm 2,2004.9027938547158,BVP
S6,Final,1008.5288156144042,BVP
S6,Midterm 1,2156.6007101600535,BVP
S6,Midterm 2,1697.7811985636922,BVP
S7,Final,1227.8232975913952,BVP
S7,Midterm 1,1942.3778934757593,BVP
S7,Midterm 2,2227.834672852769,BVP
S8,Final,1348.0265339239863,BVP
S8,Midterm 1,2231.2469808419237,BVP
S8,Midterm 2,2418.4532141669542,BVP
S9,Final,1698.2145872612068,BVP
S9,Midterm 1,1896.7300205390168,BVP
S9,Midterm 2,1937.9334242685902,BVP
S1,Final,16524.67017417135,TEMP
S1,Midterm 1,34454.904248333856,TEMP
S1,Midterm 2,34639.87793382122,TEMP
S10,Final,16756.500344132626,TEMP
S10,Midterm 1,32957.937525349764,TEMP
S10,Midterm 2,29694.321670194342,TEMP
S2,Final,15263.389108203579,TEMP
S2,Midterm 1,32141.7427402061,TEMP
S2,Midterm 2,27790.115356692717,TEMP
S3,Final,14974.97736276503,TEMP
S3,Midterm 1,31540.248211258953,TEMP
S3,Midterm 2,37654.590199619306,TEMP
S4,Final,24292.564094037778,TEMP
S4,Midterm 1,32934.792664072855,TEMP
S4,Midterm 2,28808.354203472092,TEMP
S5,Final,25354.56291422011,TEMP
S5,Midterm 1,32097.038642556563,TEMP
S5,Midterm 2,32106.18398701785,TEMP
S6,Final,16168.168223462753,TEMP
S6,Midterm 1,34536.734722259585,TEMP
S6,Midterm 2,27190.511444276097,TEMP
S7,Final,19671.577673613763,TEMP
S7,Midterm 1,31106.400956995763,TEMP
S7,Midterm 2,35668.21563548939,TEMP
S8,Final,21598.118994775512,TEMP
S8,Midterm 1,35726.60392746162,TEMP
S8,Midterm 2,38727.85506852066,TEMP
S9,Final,27201.94998205047,TEMP
S9,Midterm 1,30376.81550490911,TEMP
S9,Midterm 2,31037.457264792243,TEMP
